key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method
gaia_10,121.168,-38.928,Gaia 10,mw,1,,1.6,0.2,0.3,,,,,,,,Pace2023MNRAS.526.1075P,16.2,,,Pace2023MNRAS.526.1075P,,,,,135.9,0.4,0.4,1.4,0.3,0.4,,Pace2023MNRAS.526.1075P,-0.73,0.03,0.03,1.6,0.03,0.04,Pace2023MNRAS.526.1075P,-0.34,0.06,0.06,,,,0.14,Pace2023MNRAS.526.1075P,,,,,,,,,,,,,,,1.0,,,Pace2023MNRAS.526.1075P,,,,,,,,,,,,,,,,,,,,,,17.38,0.0,0.0,255.1730998,-3.9578563,-8.09,0.5,-15.37,20.98,787.12,399.09,20.98,,,-0.34,0.06,0.06,spectroscopic,-104.79,-161.96,4.16,0.26,0.21,,8.06,1.25,1.26,8.06,1.25,1.26,,cmd
fsr_1415,130.0995833333333,-44.72416666666667,FSR 1415,mw,0,,1.35,0.27,0.24,,,,,,,,Saroon2024A&A...689A.115S,15.15,0.1,0.1,Saroon2024A&A...689A.115S,,,,,54.82,4.93,4.93,,,,,He2023ApJS..267...34H,-1.971,0.2,0.2,2.305,0.02,0.02,Saroon2024A&A...689A.115S,,,,,,,,,0.58,0.02,0.02,11.06,4.2,4.2,Saroon2024A&A...689A.115S,,,,,,,,3.0,,,Saroon2024A&A...689A.115S,-0.1,0.2,0.2,Saroon2024A&A...689A.115S,,,,,,,,,,,,,,,,,,10.72,0.0,0.0,263.7327834,-1.8016104,-6.35,0.61,-8.61,14.13,784.07,395.95,14.13,,,-0.1,0.2,0.2,isochrone,-190.84,-255.45,,,,,4.19,0.78,0.79,4.19,0.78,0.79,,
cena_ucd-320,201.469583,-42.903611,UCD 320,ngc_5128,1,0,0.0047,,,-79.82,,,0.35,,,,Voggel2018ApJ...858...20V,27.83,,,,16.88,,,Voggel2018ApJ...858...20V,505.5,5.0,5.0,32.18,0.77,0.77,,Voggel2018ApJ...858...20V,,,,,,,,-0.36,0.14,0.14,,,,,Beasley2008MNRAS.386.1443B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.95,,,6.61,3681.29,,,309.6134345,19.5208829,-3437.94,1274.18,-330.03,3676.41,4451.03,4065.83,8.63,,,-0.36,0.14,0.14,spectroscopic,337.53,259.65,6.59,0.02,0.02,,5.0,,,4.03,,,15.65,host
lp_866,261.766,-39.439,LP 866,mw,1,,4.6,0.6,0.7,,,,,,,,Pace2023MNRAS.526.1075P,11.8,,,Pace2023MNRAS.526.1075P,,,,,-9.8,0.1,0.1,0.6,0.1,0.1,,Pace2023MNRAS.526.1075P,2.93,0.02,0.01,0.44,0.02,0.02,Pace2023MNRAS.526.1075P,0.1,0.03,0.03,,,,0.22,Pace2023MNRAS.526.1075P,,,,,,,,,,,,,,,3.0,,,Pace2023MNRAS.526.1075P,,,,,,,,,,,,,,,,,,,,,,2.29,0.0,0.0,349.0854378,-2.4243216,-1.95,-0.23,1.19,5.89,777.64,389.5,5.89,,,0.1,0.03,0.03,spectroscopic,-43.94,-84.6,3.01,0.17,0.15,,3.06,0.43,0.43,3.06,0.43,0.43,,cmd
m_031-gc_ext_8,13.310416666666663,41.556805555555556,EXT 8,m_031,1,,0.0162,0.0003,0.0003,,,,0.2,0.01,0.01,,Larsen2021A&A...651A.102L,24.43,0.03,0.03,Larsen2021A&A...651A.102L,15.28,,,Larsen2021A&A...651A.102L,-118.4,,,13.3,0.8,0.8,,Larsen2020Sci...370..970L,,,,,,,,-2.91,0.04,0.04,,,,,Larsen2020Sci...370..970L,,,,,,,,,,,,,,,13.0,,,Larsen2021A&A...651A.102L,,,,,,,,,,,,,,,,,,-9.15,,,5.89,769.13,0.0,0.0,123.2941342,-21.3136735,695.01,-297.04,142.43,773.32,27.78,381.5,27.78,,,-2.91,0.04,0.04,spectroscopic,63.42,143.18,5.73,0.05,0.05,,3.62,0.07,0.07,3.23,0.07,0.07,16.97,
cena_ucd-330,201.47625,-41.009722,UCD 330,ngc_5128,1,0,0.0033,,,,,,,,,,Voggel2018ApJ...858...20V,27.83,,,,17.52,,,Voggel2018ApJ...858...20V,743.0,5.0,5.0,22.22,4.26,4.26,,Voggel2018ApJ...858...20V,,,,,,,,-0.85,0.14,0.14,,,,,Beasley2008MNRAS.386.1443B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.31,,,6.36,3681.29,,,309.9062782,21.3948008,-3398.57,1383.76,-294.71,3676.44,4451.09,4065.86,129.04,,,-0.85,0.14,0.14,spectroscopic,578.13,500.26,6.21,0.19,0.15,,3.57,,,3.57,,,16.02,host
gaia_09,119.707,-39.011,Gaia 9,mw,1,,1.4,0.2,0.2,,,,,,,,Pace2023MNRAS.526.1075P,15.7,,,Pace2023MNRAS.526.1075P,,,,,159.0,0.3,0.3,1.0,0.3,0.3,,Pace2023MNRAS.526.1075P,-1.08,0.03,0.03,1.5,0.03,0.03,Pace2023MNRAS.526.1075P,-0.5,0.05,0.05,,,,0.16,Pace2023MNRAS.526.1075P,,,,,,,,,,,,,,,1.5,,,Pace2023MNRAS.526.1075P,,,,,,,,,,,,,,,,,,,,,,13.8,0.0,0.0,254.6456133,-4.9680932,-6.3,0.16,-12.28,17.77,784.68,396.61,17.77,,,-0.5,0.05,0.05,spectroscopic,-81.02,-137.16,3.71,0.32,0.24,,5.6,0.79,0.8,5.6,0.79,0.8,,cmd
