key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method
eridanus_1,66.185608,-21.186781,Eridanus,mw,1,,0.64,0.04,0.04,32.0,24.0,24.0,0.09,0.04,0.04,,Munoz2018ApJ...860...66M,19.639,0.074,0.074,Baumgardt2021MNRAS.505.5957B,14.22,0.03,0.03,Baumgardt2020PASA...37...46B,-23.15,0.73,0.73,,,,,Baumgardt2018MNRAS.478.1520B,0.5096,0.0387,0.0387,-0.3011,0.0408,0.0408,Vasiliev2021MNRAS.505.5978V,-1.43,,,,,,,Harris1996AJ....112.1487H,,,,,,,,0.64,0.04,0.04,1.18,0.14,0.14,Munoz2018ApJ...860...66M,9.7,0.84,0.84,Kruijssen2019MNRAS.486.3180K,,,,,,,,,,,,,,,,,,-5.42,0.03,0.03,4.4,84.68,0.0,0.0,218.1060419,-41.3320211,10.24,-48.68,-68.53,89.72,767.39,383.89,89.72,,,-1.43,,,spectroscopic,-149.72,-144.72,,,,,15.75,0.97,0.98,15.01,0.99,0.98,24.03,
eso_280_sc06,272.275,-46.423333,ESO 280-SC06,mw,1,,0.7785,,0.0908,,,,,,,,Simpson2019MNRAS.490..741S,16.605,0.067,0.067,Simpson2018MNRAS.477.4565S,11.74,0.2,0.2,Baumgardt2020PASA...37...46B,94.89,0.53,0.53,2.27,0.38,0.38,,Simpson2019MNRAS.490..741S,-0.6878,0.0392,0.0392,-2.7775,0.0332,0.0332,Vasiliev2021MNRAS.505.5978V,-2.54,0.06,0.06,,,,0.11,Usman2025OJAp....8E..86U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.86,0.2,0.2,4.18,20.94,0.0,0.0,346.898518,-12.5710209,-17.78,-5.64,9.51,13.46,788.03,400.07,13.46,,,-2.54,0.06,0.06,spectroscopic,51.12,14.36,4.36,0.16,0.13,,4.74,,,4.74,,,22.09,
eso_452_sc11,249.854167,-28.399167,ESO 452-SC11,mw,1,,1.15,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.343,0.058,0.059,Baumgardt2021MNRAS.505.5957B,10.34,0.06,0.06,Baumgardt2020PASA...37...46B,16.37,0.44,0.44,,,,,Baumgardt2018MNRAS.478.1520B,-1.4234,0.0314,0.0314,-6.472,0.0303,0.0303,Vasiliev2021MNRAS.505.5978V,,,,,,,,,,,,,,,,,,,,,,,13.59,0.69,0.48,Massari2025A&A...698A.197M,-0.94,0.08,0.11,Massari2025A&A...698A.197M,,,,,,,,,,,,,,-4.0,0.06,0.06,3.83,7.39,0.0,0.0,351.909411,12.0976425,-5.95,1.09,4.24,2.09,781.09,392.96,2.09,,,-0.94,0.08,0.11,isochrone,-3.31,-47.54,,,,,2.47,,,2.47,,,21.53,
fsr_1735,253.044174,-47.058056,FSR 1735,mw,1,,0.79,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.791,0.126,0.126,Baumgardt2021MNRAS.505.5957B,7.9,0.11,0.11,Baumgardt2020PASA...37...46B,-69.85,4.88,4.88,,,,,Baumgardt2018MNRAS.478.1520B,-4.4395,0.0537,0.0537,-1.5341,0.0476,0.0476,Vasiliev2021MNRAS.505.5978V,-0.9,0.2,0.2,,,,,CarballoBello2016MNRAS.462..501C,,,,,,,,,,,,,,,11.3,1.2,1.2,CarballoBello2016MNRAS.462..501C,,,,,,,,,,,,,,,,,,-6.89,0.11,0.11,4.99,9.08,0.0,0.0,339.187643,-1.8532287,-8.43,-0.66,3.32,3.26,782.82,394.69,3.26,,,-0.9,0.2,0.2,spectroscopic,-145.27,-196.34,,,,,2.09,,,2.09,,,18.28,
glimpse_01,282.2070833,-1.497222222,Glimpse 1,mw,1,,0.6,,,,,,,,,,Kobulnicky2005AJ....129..239K,12.46,0.38,0.325,Kobulnicky2005AJ....129..239K,4.05,,,Kobulnicky2005AJ....129..239K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.41,,,5.6,3.1,0.0,0.0,31.3019712,-0.1022188,-0.86,-0.33,2.96,5.7,776.24,388.1,5.7,,,,,,,,,,,,,0.54,,,0.54,,,13.83,
glimpse_02,274.6270833,-16.97722222,Glimpse 2,mw,1,,1.73,,,,,,,,,,Kurtev2008A&A...489..583K,13.3,0.3,0.308,Kurtev2008A&A...489..583K,7.1,,,Strader2008AJ....136.2102S,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,15.0,,,Kurtev2008A&A...489..583K,,,,,,,,,,,,-0.33,0.14,0.14,Kurtev2008A&A...489..583K,,,,,,,,,,,,,,-6.2,,,4.71,4.57,0.0,0.0,14.1276887,-0.645214,-2.51,-0.47,3.79,3.85,777.49,389.35,3.85,,,-0.33,0.14,0.14,isochrone,,,,,,,2.3,,,2.3,,,19.18,
hp_1,262.771667,-29.981667,HP 1,mw,1,,1.52,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.224,0.044,0.044,Baumgardt2021MNRAS.505.5957B,7.62,0.11,0.11,Baumgardt2020PASA...37...46B,39.76,1.22,1.22,,,,,Baumgardt2018MNRAS.478.1520B,2.5228,0.0391,0.0391,-10.093,0.0374,0.0374,Vasiliev2021MNRAS.505.5978V,-1.15,0.03,0.03,0.08,0.02,0.02,,Henao2025A&A...696A.154H,,,,,,,,,,,,,,,12.8,0.8,0.9,Kerber2019MNRAS.484.5530K,,,,,,,,,,,,,,,,,,-6.6,0.11,0.11,4.87,7.0,0.0,0.0,357.4252206,2.1150299,-5.35,-0.24,4.5,1.21,779.98,391.85,1.21,,,-1.15,0.03,0.03,spectroscopic,41.9,8.34,,,,,3.09,,,3.09,,,19.42,
ic_1257,261.785431,-7.093056,IC 1257,mw,1,,0.53,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.123,0.117,0.117,Baumgardt2021MNRAS.505.5957B,11.97,,,Baumgardt2020PASA...37...46B,-137.97,2.04,2.04,,,,,Baumgardt2018MNRAS.478.1520B,-1.0069,0.04,0.04,-1.4916,0.0321,0.0321,Vasiliev2021MNRAS.505.5978V,-1.7,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.15,,,4.29,26.58,0.0,0.0,16.5277878,15.1449683,-13.15,4.48,22.66,19.31,785.24,397.48,19.31,,,-1.7,,,spectroscopic,-56.56,-72.55,,,,,4.1,,,4.1,,,21.48,
ic_1276,272.684441,-7.207595,IC 1276,mw,1,,2.42,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.292,0.119,0.122,Baumgardt2021MNRAS.505.5957B,6.59,0.06,0.06,Baumgardt2020PASA...37...46B,155.06,0.69,0.69,,,,,Baumgardt2018MNRAS.478.1520B,-2.5531,0.0258,0.0258,-4.5676,0.0257,0.0257,Vasiliev2021MNRAS.505.5978V,-0.75,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.7,0.06,0.06,4.91,4.55,0.0,0.0,21.8320867,5.6683124,-1.95,-0.0,4.11,4.29,777.11,388.98,4.29,,,-0.75,,,spectroscopic,258.63,254.14,,,,,3.21,,,3.21,,,19.4,
ic_4499,225.077188,-82.213792,IC 4499,mw,1,,1.87,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,16.381,0.029,0.029,Baumgardt2021MNRAS.505.5957B,9.13,0.05,0.05,Baumgardt2020PASA...37...46B,38.41,0.31,0.31,,,,,Baumgardt2018MNRAS.478.1520B,0.4658,0.0253,0.0253,-0.489,0.0253,0.0253,Vasiliev2021MNRAS.505.5978V,0.12,,,,,,,Hankey2011MNRAS.411.1536H,,,,,,,,,,,,,,,12.0,0.75,0.75,Dotter2011ApJ...738...74D,,,,,,,,,,,,,,,,,,-7.25,0.05,0.05,5.13,18.89,0.0,0.0,307.3536941,-20.4733514,-17.43,-6.23,-3.79,15.76,790.28,402.23,15.76,,,0.12,,,spectroscopic,-139.88,-197.69,,,,,10.27,,,10.27,,,21.38,
