key,ra,dec,name,host,confirmed_real,confirmed_star_cluster,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,rhalf_physical,rhalf_sph_physical,surface_brightness_rhalf,metallicity,metallicity_em,metallicity_ep,metallicity_type,ll,bb
des_3,325.0551667,-52.5418,DES 3,MW,0,0,0.3,0.04,0.05,-11.59,32.18,30.83,0.18,0.12,0.14,,Luque2018MNRAS.478.2006L,19.41,0.11,0.08,Luque2018MNRAS.478.2006L,17.81,0.3,0.5,Luque2018MNRAS.478.2006L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,1.1,1.1,Luque2018MNRAS.478.2006L,-1.84,0.12,0.22,Luque2018MNRAS.478.2006L,-1.6000000000000014,0.3,0.5,2.873029995663982,76.20790100254113,3.7643049950420817,2.859961797441315,6.650393942641152,6.0221878470951795,25.869384648119357,-1.84,0.12,0.22,photometric,343.82947612257766,-46.51163891095967
des_4,82.09501,-61.72369,DES 4,MW,0,0,0.83,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17.5,,,Torrealba2019MNRAS.484.2181T,16.4,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1000000000000014,,,2.673029995663982,31.622776601683793,,,7.634915056121077,7.634915056121077,26.88463416776905,,,,,270.87127248183464,-33.4387026432277
des_5,77.50351,-62.58046,DES 5,MW,0,0,0.18,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17.0,,,Torrealba2019MNRAS.484.2181T,17.3,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3000000000000007,,,2.113029995663981,25.118864315095824,,,1.3152206599803975,1.3152206599803975,24.465606271613908,,,,,272.2040256087357,-35.46945200642142
eridanus_3,35.6952,-52.2838,Eridanus III,MW,1,0,0.315,0.027,0.036,109.0,5.0,5.0,0.44,0.03,0.02,,Conn2018ApJ...852...68C,19.8,0.04,0.04,Conn2018ApJ...852...68C,17.73,0.5,0.5,Conn2018ApJ...852...68C,,,,,,,,,1.39,0.13,0.13,-0.64,0.14,0.14,Battaglia2022A&A...657A..54B,,,,,,,,,0.19,0.049,0.053,2.08,0.91,0.97,Conn2018ApJ...852...68C,0.29,0.23,0.23,1.64,0.27,0.27,Munoz2018ApJ...860...66M,12.5,0.7,0.5,Conn2018ApJ...852...68C,-2.4,0.12,0.19,Conn2018ApJ...852...68C,-2.0700000000000003,0.5,0.5,3.0610299956639815,91.20108393559097,1.664607380631594,1.6955547424026634,8.356735779334795,6.253608431613225,25.481266581142037,-2.4,0.12,0.19,photometric,274.9547280222759,-59.59661876251075
gaia_3,95.05864,-73.41445,Gaia 3,MW,0,0,0.53,,,,,,,,,,Torrealba2019MNRAS.484.2181T,18.4,,,Torrealba2019MNRAS.484.2181T,15.1,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.299999999999999,,,3.553029995663981,47.8630092322638,,,7.379076058969778,7.379076058969778,24.610623078881428,,,,,284.227375174827,-28.131309177497638
hsc_1,334.309,3.48,HSC 1,MW,0,0,0.44,0.06,0.07,-12.0,11.0,11.0,0.46,0.1,0.08,,Homma2019PASJ...71...94H,18.3,0.2,0.2,Homma2019PASJ...71...94H,18.1,0.83,0.59,Homma2019PASJ...71...94H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1999999999999993,0.83,0.59,2.3130299956639813,45.708818961487516,4.021880614453963,4.409904401239736,5.850308845890464,4.299081453036716,26.53749152366713,,,,,66.31919580413064,-41.84069925593544
kim_1,332.9214,7.0271,Kim 1,MW,0,0,1.2,0.1,0.1,-59.0,6.0,6.0,0.42,0.1,0.1,,Kim2015ApJ...799...73K,16.48,0.1,0.2,Kim2015ApJ...799...73K,16.78,0.5,0.5,Kim2015ApJ...799...73K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.22,0.22,1.24,0.55,0.55,Munoz2018ApJ...860...66M,12.0,3.0,1.5,Kim2015ApJ...799...73K,-1.7,0.2,0.5,Kim2015ApJ...799...73K,0.3000000000000007,0.5,0.5,2.113029995663981,19.769696401118622,0.8897829101556987,1.9073446470783395,6.900925886383869,5.255588577108233,27.4737199110737,-1.7,0.2,0.5,photometric,68.51580135649793,-38.424142335873235
kim_2,317.202,-51.1671,Kim 2,MW,1,1,0.42,0.02,0.02,35.0,5.0,5.0,0.12,0.1,0.1,,Kim2015ApJ...803...63K,20.1,0.1,0.1,Kim2015ApJ...803...63K,18.6,0.5,0.5,Kim2015ApJ...803...63K,,,,,,,,,,,,,,,,,,,,,,,,0.279,0.02,0.02,2.101,0.02,0.02,Kim2015ApJ...803...63K,0.87,0.45,0.45,1.22,0.44,0.44,Munoz2018ApJ...860...66M,11.5,3.5,2.0,Kim2015ApJ...803...63K,-1.0,0.21,0.18,Kim2015ApJ...803...63K,-1.5,0.5,0.5,2.8330299956639813,104.71285480509007,4.712854805090075,4.93496480922866,12.793088598581107,12.000980875920453,27.466696870939202,-1.0,0.21,0.18,photometric,347.1549436282602,-42.06932960735336
kim_3,200.688,-30.6,Kim 3,MW,0,0,0.52,0.11,0.24,4.0,24.0,24.0,0.17,0.17,0.26,,Kim2016ApJ...820..119K,15.9,0.04,0.11,Kim2016ApJ...820..119K,16.6,0.3,0.3,Kim2016ApJ...820..119K,,,,,,,,,-0.849,0.178,0.178,3.396,0.14,0.14,Vasiliev2021MNRAS.505.5978V,,,,,,,,,,,,,,,,,,,,,,,9.5,1.7,3.0,Kim2016ApJ...820..119K,-1.6,0.3,0.45,Kim2016ApJ...820..119K,0.7000000000000011,0.3,0.3,1.953029995663981,15.13561248436207,0.27625606149197957,0.7864747861496291,2.28944102537,2.0857800395001402,25.866955683450165,-1.6,0.3,0.45,photometric,310.8600915182294,31.78922941412125
koposov_1,179.8253,12.2615,Koposov 1,MW,1,0,0.62,0.18,0.18,7.0,21.0,21.0,0.45,0.15,0.15,,Munoz2018ApJ...860...66M,18.42,,,Munoz2018ApJ...860...66M,17.38,0.69,0.69,Munoz2018ApJ...860...66M,,,,,,,,,-1.513,0.135,0.135,-0.814,0.105,0.105,Vasiliev2021MNRAS.505.5978V,,,,,,,,,0.29,0.12,0.12,4.3,2.1,2.1,Munoz2018ApJ...860...66M,0.72,0.18,0.18,1.27,0.56,0.56,Munoz2018ApJ...860...66M,,,,,,,,,-1.0400000000000027,0.69,0.69,2.6490299956639825,48.30588020397729,,,8.711998795544654,6.46099122870975,26.5821089063598,,,,,260.96993023032616,70.75508481375864
koposov_2,119.5715,26.2574,Koposov 2,MW,1,0,0.44,0.07,0.07,-35.0,18.0,18.0,0.43,0.14,0.14,,Munoz2018ApJ...860...66M,17.7,,,Munoz2018ApJ...860...66M,16.78,0.81,0.81,Munoz2018ApJ...860...66M,,,,,,,,,-0.601,0.189,0.189,-0.025,0.189,0.189,Vasiliev2021MNRAS.505.5978V,,,,,,,,,0.23,0.14,0.14,2.93,1.89,1.89,Munoz2018ApJ...860...66M,0.43,0.09,0.09,1.35,0.7,0.7,Munoz2018ApJ...860...66M,,,,,,,,,-0.9199999999999982,0.81,0.81,2.6010299956639806,34.673685045253166,,,4.437913097487369,3.350550912414922,25.276194262935213,,,,,195.10973214688667,25.546787241292545
laevens_3,316.7293802,14.9843999,Laevens 3,MW,1,1,0.64,0.05,0.05,72.0,17.0,24.0,0.11,0.11,0.09,,Longeard2019MNRAS.490.1498L,18.94,0.02,0.05,Longeard2019MNRAS.490.1498L,16.14,0.3,0.2,Longeard2019MNRAS.490.1498L,-70.2,0.5,0.5,,,,,Longeard2019MNRAS.490.1498L,0.172,0.101,0.101,-0.666,0.08,0.08,Vasiliev2021MNRAS.505.5978V,-1.8,0.1,0.1,,,,,Longeard2019MNRAS.490.1498L,,,,,,,,,,,,,,,13.0,1.0,1.0,Longeard2019MNRAS.490.1498L,,,,,-2.8000000000000007,0.3,0.2,3.3530299956639817,61.37620051647945,0.562700388607567,1.429635364852345,11.426312334685981,10.77956149744132,25.933618612286253,-1.8,0.1,0.1,spectroscopic,63.59807012441659,-21.17607401164079
munoz_1,225.449,66.9682,Munoz 1,MW,1,0,0.49,0.15,0.15,139.0,46.0,46.0,0.34,0.17,0.17,,Munoz2018ApJ...860...66M,18.27,0.26,0.23,Munoz2012ApJ...753L..15M,17.87,0.97,0.97,Munoz2018ApJ...860...66M,-137.0,4.0,4.0,,,,4.7,Munoz2012ApJ...753L..15M,-0.1,0.203,0.203,-0.02,0.207,0.207,Vasiliev2021MNRAS.505.5978V,-1.46,0.32,0.32,,,,,Munoz2012ApJ...753L..15M,0.24,0.23,0.23,4.43,1.93,1.93,Munoz2018ApJ...860...66M,1.7,0.32,0.32,1.89,0.31,0.31,Munoz2018ApJ...860...66M,,,,,,,,,-0.3999999999999986,0.97,0.97,2.393029995663981,45.08167045414601,5.087195478036307,5.037052908581245,6.42572591741181,5.220284413071819,26.75908397737345,-1.46,0.32,0.32,spectroscopic,105.44140203440489,45.48060629311681
ps1_1,289.17121,-27.82721,PS1 1,MW,0,0,0.55,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17.4,,,Torrealba2019MNRAS.484.2181T,15.5,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8999999999999986,,,2.993029995663981,30.19951720402013,,,4.831575904125882,4.831575904125882,25.091057177025764,,,,,10.042108343027943,-17.420667687154094
sagittarius_2,298.16875,-22.06805556,Sagittarius II,MW,1,1,1.85,0.07,0.08,96.0,32.0,50.0,0.03,,,0.08,Richstein2024ApJ...967...72R,19.2,0.2,0.2,MutluPakdil2018ApJ...863...25M,13.82,0.04,0.06,Richstein2024ApJ...967...72R,-177.2,0.6,0.5,1.7,0.5,0.5,,Longeard2021MNRAS.503.2754L,-0.769,0.035,0.035,-0.903,0.023,0.022,Pace2022ApJ...940..136P,-2.23,0.07,0.07,,,,,Longeard2021MNRAS.503.2754L,,,,,,,,,,,,,,,,,,,,,,,-5.379999999999999,0.04,0.06,4.385029995663981,69.18309709189363,6.087362643874329,6.674660411024732,37.23041228856412,36.66770365323103,26.012031522432945,-2.23,0.07,0.07,spectroscopic,18.935546240501317,-22.897523401683085
segue_3,320.37925,19.1176944,Segue 3,MW,1,1,0.433,0.0833,0.0833,33.0,36.0,36.0,0.23,0.11,0.11,,Fadely2011AJ....142...88F,16.14,0.09,0.09,Fadely2011AJ....142...88F,16.08,0.78,0.078,Fadely2011AJ....142...88F,-167.0,,,1.2,2.6,2.6,,Fadely2011AJ....142...88F,-0.981,0.121,0.121,-1.667,0.081,0.081,Vasiliev2021MNRAS.505.5978V,,,,,,,,,0.27,0.12,0.12,3.46,0.86,0.86,Munoz2018ApJ...860...66M,0.52,0.09,0.09,1.3,0.3,0.3,Munoz2018ApJ...860...66M,12.0,0.4,1.5,Fadely2011AJ....142...88F,-1.7,0.27,0.07,Fadely2011AJ....142...88F,-0.060000000000002274,0.78,0.078,2.257029995663982,16.904409316432634,0.6863083428433363,0.7153511476836734,2.129188018215794,1.86835490339056,24.867910033937786,-1.7,0.27,0.07,photometric,69.39965209944472,-21.272287124080197
smash_1,95.2496,-80.3966,SMASH 1,MW,0,0,0.57,0.18,0.32,-24.0,16.0,16.0,0.62,0.21,0.17,,Martin2016ApJ...830L..10M,18.8,,,Martin2016ApJ...830L..10M,17.8,0.9,0.9,Martin2016ApJ...830L..10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.9,0.9,2.6330299956639815,57.543993733715666,,,9.541155476303073,5.88156324226268,26.418077010424575,,,,,292.1392842689408,-27.985997323766014
to_1,56.08255,-69.42255,To 1,MW,0,0,0.27,,,,,,,,,,Torrealba2019MNRAS.484.2181T,18.2,,,Torrealba2019MNRAS.484.2181T,16.6,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5999999999999979,,,2.8730299956639804,43.65158322401656,,,3.4283873293533476,3.4283873293533476,24.64606256441181,,,,,284.3605878946307,-40.90686144495923
ymca_1,110.8378,-64.8319,YMCA-1,MW,1,0,0.2167948414,0.03097069163,0.03097069163,,,,,,,,Gatto2022ApJ...929L..21G,18.72,0.17,0.15,Gatto2022ApJ...929L..21G,18.25,0.57,0.57,Gatto2022ApJ...929L..21G,,,,,,,,,1.044,0.402,0.402,1.107,0.209,0.209,Piatti2022MNRAS.515.4005P,,,,,,,,,,,,,,,,,,,,,,,11.7,1.3,1.7,Gatto2022ApJ...929L..21G,-1.12,0.13,0.21,Gatto2022ApJ...929L..21G,-0.46999999999999886,0.57,0.57,2.421029995663981,55.462571295791044,4.176432896654667,3.966644565766103,3.4976396312523557,3.4976396312523557,25.819488465296715,-1.12,0.13,0.21,photometric,276.0947769813843,-21.1100651346268
