key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method
andromeda_13,12.9625,33.00444,Andromeda XIII,m_031,1,1,0.8,0.3,0.4,-20.0,12.0,9.0,0.61,0.2,0.14,,Martin2016ApJ...833..167M,24.57,0.07,0.07,Savino2022ApJ...938..101S,17.8,0.4,0.4,Martin2016ApJ...833..167M,-185.4,2.4,2.4,5.8,2.0,2.0,,Tollerud2012ApJ...752...45T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,Putman2021ApJ...913...53P,,,,,,,,,-6.77,0.4,0.4,4.94,820.35,26.02,26.88,123.0315552,-29.8672279,689.23,-425.44,130.13,824.22,125.68,440.19,125.68,,4.82,,,,,-16.82,62.24,6.5,0.47,0.36,,189.3,79.73,83.79,113.27,53.85,60.87,27.07,
andromeda_14,12.89583,29.68972,Andromeda XIV,m_031,1,1,1.5,0.2,0.2,-4.0,14.0,14.0,0.17,0.17,0.16,,Martin2016ApJ...833..167M,24.44,0.06,0.06,Savino2022ApJ...938..101S,15.8,0.3,0.3,Martin2016ApJ...833..167M,-480.6,1.2,1.2,5.3,1.0,1.0,,Tollerud2012ApJ...752...45T,,,,,,,,-2.23,0.01,0.01,,,,,Wojno2020ApJ...895...78W,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,Putman2021ApJ...913...53P,,,,,,,,,-8.64,0.3,0.3,5.69,772.68,21.06,21.65,122.9696579,-33.1820169,626.37,-438.02,113.3,776.41,158.1,400.49,158.1,,4.35,-2.23,0.01,0.01,spectroscopic,-318.28,-239.98,6.88,0.19,0.17,,335.49,45.11,46.03,296.31,48.14,47.89,27.29,
andromeda_15,18.57625,38.11972,Andromeda XV,m_031,1,1,1.3,0.1,0.1,38.0,15.0,15.0,0.24,0.1,0.1,,Martin2016ApJ...833..167M,24.37,0.05,0.05,Savino2022ApJ...938..101S,16.0,0.3,0.3,Martin2016ApJ...833..167M,-323.0,1.4,1.4,4.0,1.4,1.4,,Tollerud2012ApJ...752...45T,,,,,,,,-1.43,0.42,0.42,,,,,Wojno2020ApJ...895...78W,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,Putman2021ApJ...913...53P,,,,,,,,,-8.37,0.3,0.3,5.58,748.17,17.03,17.43,127.8736636,-24.5325122,671.3,-321.12,77.41,752.74,95.1,365.76,95.1,,4.77,-1.43,0.42,0.42,spectroscopic,-157.07,-78.57,6.56,0.38,0.27,,282.09,22.24,22.91,245.39,25.53,24.92,27.15,
andromeda_16,14.87625,32.376111,Andromeda XVI,m_031,1,1,1.0,0.1,0.1,98.0,9.0,9.0,0.29,0.08,0.08,,Martin2016ApJ...833..167M,23.57,0.08,0.08,MartinezVazquez2017ApJ...850..137M,16.1,0.3,0.3,Martin2016ApJ...833..167M,-367.3,2.8,2.8,3.8,2.9,2.9,,Tollerud2012ApJ...752...45T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,Putman2021ApJ...913...53P,-2.17,0.05,0.05,0.33,0.07,0.07,,Fu2024ApJ...975....2F,-7.47,0.3,0.3,5.22,517.61,18.72,19.42,124.9079905,-30.4646825,435.64,-271.43,66.8,521.66,279.13,149.27,279.13,,4.37,-2.17,0.05,0.05,photometric,-204.0,-125.47,6.23,0.94,0.5,,149.88,15.61,16.29,126.3,15.21,15.08,26.61,
andromeda_17,9.27625,44.32306,Andromeda XVII,m_031,1,1,1.4,0.3,0.3,110.0,9.0,9.0,0.5,0.1,0.1,,Martin2016ApJ...833..167M,24.4,0.07,0.07,Savino2022ApJ...938..101S,16.6,0.3,0.3,Martin2016ApJ...833..167M,-251.6,2.0,1.8,2.9,1.9,2.2,,Collins2013ApJ...768..172C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,Putman2021ApJ...913...53P,,,,,,,,,-7.8,0.3,0.3,5.35,758.58,24.06,24.85,120.2299308,-18.4734792,687.53,-262.25,184.29,762.49,46.69,371.74,46.69,,4.66,,,,,-58.96,21.24,6.21,0.88,0.49,,306.66,65.63,66.99,215.41,51.0,51.59,27.44,
andromeda_18,0.56025,45.08772222,Andromeda XVIII,,1,1,0.92,0.05,0.05,75.12,4.47,4.47,0.44,0.12,0.12,,Higgs2021MNRAS.503..176H,25.36,0.08,0.08,Higgs2021MNRAS.503..176H,16.2,0.4,0.4,Martin2016ApJ...833..167M,-337.2,1.4,1.4,9.9,1.0,1.1,,Kvasova2024ApJ...972..180K,,,,,,,,-1.53,0.06,0.06,0.43,0.04,0.05,,Kvasova2024ApJ...972..180K,,,,,,,,0.92,0.05,0.05,0.95,0.1,0.1,Higgs2021MNRAS.503..176H,,,,,,,,,,,,0.63,Putman2021ApJ...913...53P,,,,,,,,,-9.16,0.4,0.4,5.9,1180.32,42.69,44.3,113.8875953,-16.9183231,1035.72,-390.93,409.42,1183.49,427.19,798.26,nan,,5.32,-1.53,0.06,0.06,spectroscopic,-129.62,-49.02,7.33,0.11,0.11,,314.92,20.08,21.33,235.44,30.67,28.91,26.27,
andromeda_19,4.89375,35.04472,Andromeda XIX,m_031,1,1,14.2,1.9,3.4,34.0,5.0,5.0,0.58,0.1,0.05,,Martin2016ApJ...833..167M,24.55,0.08,0.09,Savino2022ApJ...938..101S,14.5,0.3,0.3,Martin2016ApJ...833..167M,-109.0,1.6,1.6,7.8,1.5,1.7,,Collins2020MNRAS.491.3496C,,,,,,,,-1.5,0.02,0.02,0.2,,,,Cullinane2024ApJ...972..133C,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,Putman2021ApJ...913...53P,,,,,,,,,-10.05,0.3,0.3,6.25,812.83,29.4,34.4,115.5916832,-27.372483,670.3,-400.93,225.04,815.98,112.83,431.38,112.83,,5.11,-1.5,0.02,0.02,spectroscopic,79.18,159.59,8.07,0.22,0.19,,3333.07,628.15,644.96,2150.39,450.21,457.4,30.18,
andromeda_20,1.8775,35.12694,Andromeda XX,m_031,1,1,0.4,0.1,0.2,90.0,44.0,20.0,0.11,0.11,0.41,,Martin2016ApJ...833..167M,24.35,0.08,0.08,Savino2022ApJ...938..101S,18.0,0.4,0.4,Martin2016ApJ...833..167M,-456.2,3.6,3.1,7.1,2.5,3.9,,Collins2013ApJ...768..172C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,Putman2021ApJ...913...53P,,,,,,,,,-6.35,0.4,0.4,4.77,741.31,26.81,27.82,112.8714594,-26.8852006,601.66,-363.37,235.61,744.16,127.12,363.63,127.12,,4.74,,,,,-262.36,-181.81,6.49,0.56,0.39,,85.25,31.48,32.6,72.48,28.3,30.64,26.52,
andromeda_21,358.69958,42.47056,Andromeda XXI,m_031,1,1,4.1,0.4,0.8,139.0,13.0,13.0,0.36,0.13,0.1,,Martin2016ApJ...833..167M,24.44,0.07,0.06,Savino2022ApJ...938..101S,15.5,0.3,0.3,Martin2016ApJ...833..167M,-363.4,1.0,1.0,6.1,0.9,1.0,,Collins2021MNRAS.505.5686C,,,,,,,,-1.7,0.1,0.1,,,,,Collins2021MNRAS.505.5686C,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,Putman2021ApJ...913...53P,,,,,,,,,-8.94,0.3,0.3,5.81,772.68,24.51,21.65,111.917465,-19.1865901,658.93,-286.92,283.76,775.58,121.55,394.06,121.55,,4.78,-1.7,0.1,0.1,spectroscopic,-155.31,-74.52,7.39,0.16,0.15,,916.54,135.18,138.13,730.2,125.55,126.86,28.95,
andromeda_22,21.91833,28.09028,Andromeda XXII,m_033,1,1,0.9,0.2,0.3,114.0,10.0,10.0,0.61,0.14,0.1,,Martin2016ApJ...833..167M,24.39,0.07,0.07,Savino2022ApJ...938..101S,18.0,0.4,0.4,Martin2016ApJ...833..167M,-129.8,2.0,2.0,2.8,1.4,1.9,,Collins2013ApJ...768..172C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,Putman2021ApJ...913...53P,,,,,,,,,-6.39,0.4,0.4,4.79,755.09,23.95,24.74,132.5887509,-34.1010952,623.08,-426.51,5.2,759.67,214.94,396.94,111.63,,4.43,,,,,8.34,83.72,5.91,0.74,0.44,,195.71,54.14,55.79,119.68,37.77,40.28,27.57,
andromeda_23,22.3375,38.72389,Andromeda XXIII,m_031,1,1,5.4,0.4,0.4,138.0,5.0,5.0,0.41,0.06,0.05,,Martin2016ApJ...833..167M,24.36,0.07,0.07,Savino2022ApJ...938..101S,14.6,0.2,0.2,Martin2016ApJ...833..167M,-237.7,1.4,1.4,6.8,1.3,1.5,,Pickett2025MNRAS.540.1701P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,Putman2021ApJ...913...53P,,,,,,,,,-9.76,0.2,0.2,6.14,744.73,23.62,24.4,130.9882484,-23.5540633,678.45,-304.15,42.66,749.64,126.91,367.07,126.91,,4.89,,,,,-78.62,-1.15,7.58,0.2,0.17,,1165.97,92.26,95.74,895.73,83.73,82.44,28.57,
andromeda_24,19.63625,46.37028,Andromeda XXIV,m_031,1,1,2.6,0.5,1.0,90.0,34.0,34.0,0.1,0.1,0.31,,Martin2016ApJ...833..167M,23.92,0.07,0.07,Savino2022ApJ...938..101S,16.3,0.3,0.3,Martin2016ApJ...833..167M,-128.2,5.2,5.2,,,,7.3,Collins2013ApJ...768..172C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,Putman2021ApJ...913...53P,,,,,,,,,-7.62,0.3,0.3,5.28,608.14,19.29,19.92,127.7968208,-16.2452569,575.72,-179.78,77.78,612.95,194.86,230.8,194.86,,4.61,,,,,48.36,126.49,,,,7.33,455.12,130.77,134.56,402.8,121.45,127.95,28.98,
