key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method
des_3,325.05517,-52.5418,DES 3,mw,0,,0.3,0.04,0.05,-11.59,32.18,30.83,0.18,0.12,0.14,,Luque2018MNRAS.478.2006L,19.41,0.11,0.08,Luque2018MNRAS.478.2006L,17.81,0.3,0.5,Luque2018MNRAS.478.2006L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,1.1,1.1,Luque2018MNRAS.478.2006L,-1.84,0.12,0.22,Luque2018MNRAS.478.2006L,,,,,,,,,,,,,,-1.6,0.3,0.5,2.87,76.21,0.0,0.0,343.8294753,-46.5116408,-46.95,-57.53,17.14,71.1,795.29,410.47,71.1,,,-1.84,0.12,0.22,isochrone,,,,,,,6.63,0.98,0.99,5.9,0.97,0.99,25.82,
des_4,82.09501,-61.72369,OGLE-CL LMC 863,mw,0,,0.83,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17.5,,,Torrealba2019MNRAS.484.2181T,16.4,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,2.67,31.62,0.0,0.0,270.8712725,-33.4387026,-18.17,-15.21,-20.94,32.55,791.52,403.85,32.55,,,,,,,,,,,,,7.63,,,7.63,,,26.88,
des_5,77.50351,-62.58046,OGLE-CL LMC 874,mw,0,,0.18,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17.0,,,Torrealba2019MNRAS.484.2181T,17.3,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,2.11,25.12,0.0,0.0,272.2040256,-35.469452,-14.42,-12.89,-16.02,26.16,787.85,400.01,26.16,,,,,,,,,,,,,1.32,,,1.32,,,24.47,
eridanus_3,35.6952,-52.2838,Eridanus III,mw,1,,0.315,0.027,0.036,109.0,5.0,5.0,0.44,0.03,0.02,,Conn2018ApJ...852...68C,19.8,0.04,0.04,Conn2018ApJ...852...68C,17.73,0.5,0.5,Conn2018ApJ...852...68C,54.0,2.1,2.5,,,,8.7,Cerny2026arXiv260217652C,1.36,0.08,0.07,-0.64,0.08,0.08,Cerny2026arXiv260217652C,-3.32,0.21,0.21,,,,,Cerny2026arXiv260217652C,0.19,0.049,0.053,2.08,0.91,0.97,Conn2018ApJ...852...68C,0.29,0.23,0.23,1.64,0.27,0.27,Munoz2018ApJ...860...66M,12.5,0.7,0.5,Conn2018ApJ...852...68C,-2.4,0.12,0.19,Conn2018ApJ...852...68C,,,,,,-2.03,0.18,0.16,0.49,0.18,0.22,,Fu2023ApJ...958..167F,-2.07,0.5,0.5,3.06,91.2,0.0,0.0,274.954728,-59.5966188,-34.08,-74.75,-39.6,91.21,791.04,407.89,91.21,,,-3.32,0.21,0.21,spectroscopic,-75.98,-86.43,,,,5.64,8.34,0.82,0.83,6.24,0.63,0.64,25.48,
gaia_03,95.05864,-73.41445,OGLE-CL LMC 845,mw,0,,0.53,,,,,,,,,,Torrealba2019MNRAS.484.2181T,18.4,,,Torrealba2019MNRAS.484.2181T,15.1,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,,,3.55,47.86,0.0,0.0,284.2273752,-28.1313092,-35.34,-19.89,-25.42,46.78,806.39,419.06,46.78,,,,,,,,,,,,,7.38,,,7.38,,,24.61,
hsc_1,334.309,3.48,HSC 1,mw,0,,0.44,0.06,0.07,-12.0,11.0,11.0,0.46,0.1,0.08,,Homma2019PASJ...71...94H,18.3,0.2,0.2,Homma2019PASJ...71...94H,18.1,0.83,0.59,Homma2019PASJ...71...94H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,0.83,0.59,2.31,45.71,0.0,0.0,66.3191958,-41.8406993,11.06,-33.85,28.66,43.97,747.62,360.36,43.97,,,,,,,,,,,,,5.83,0.85,0.86,4.26,0.72,0.73,26.52,
kim_1,332.9214,7.0271,Kim 1,mw,1,,1.2,0.1,0.1,-59.0,6.0,6.0,0.42,0.1,0.1,,Kim2015ApJ...799...73K,16.48,0.1,0.2,Kim2015ApJ...799...73K,16.78,0.5,0.5,Kim2015ApJ...799...73K,-260.8,1.1,1.2,2.6,1.2,1.5,,Cerny2026arXiv260217652C,-1.12,0.1,0.1,-0.09,0.09,0.09,Cerny2026arXiv260217652C,-2.69,0.14,0.14,,,,,Cerny2026arXiv260217652C,,,,,,,,0.93,0.22,0.22,1.24,0.55,0.55,Munoz2018ApJ...860...66M,12.0,3.0,1.5,Kim2015ApJ...799...73K,-1.7,0.2,0.5,Kim2015ApJ...799...73K,,,,,,,,,,,,,,0.3,0.5,0.5,2.11,19.77,0.0,0.0,68.5158014,-38.4241423,5.59,-13.8,13.01,19.1,763.13,375.13,19.1,,,-2.69,0.14,0.14,spectroscopic,-82.89,-22.35,4.51,0.63,0.37,,6.89,0.57,0.57,5.22,0.62,0.63,27.46,
kim_2,317.202,-51.1671,Kim 2,mw,1,,0.42,0.02,0.02,35.0,5.0,5.0,0.12,0.1,0.1,,Kim2015ApJ...803...63K,20.1,0.1,0.1,Kim2015ApJ...803...63K,18.6,0.5,0.5,Kim2015ApJ...803...63K,,,,,,,,,,,,,,,,,,,,,,,,0.279,0.02,0.02,2.101,0.02,0.02,Kim2015ApJ...803...63K,0.87,0.45,0.45,1.22,0.44,0.44,Munoz2018ApJ...860...66M,11.5,3.5,2.0,Kim2015ApJ...803...63K,-1.0,0.21,0.18,Kim2015ApJ...803...63K,,,,,,,,,,,,,,-1.5,0.5,0.5,2.83,104.71,0.0,0.0,347.1549436,-42.0693296,-67.46,-73.98,30.65,98.99,807.13,424.91,98.99,,,-1.0,0.21,0.18,isochrone,,,,,,,12.78,0.6,0.61,11.84,0.83,0.79,27.44,
koposov_2,119.5715,26.2574,Koposov 2,mw,1,,0.44,0.07,0.07,-35.0,18.0,18.0,0.43,0.14,0.14,,Munoz2018ApJ...860...66M,17.7,,,Munoz2018ApJ...860...66M,16.78,0.81,0.81,Munoz2018ApJ...860...66M,109.8,1.3,1.5,2.7,1.3,1.7,,Cerny2026arXiv260217652C,-0.58,0.16,0.16,0.1,0.1,0.1,Cerny2026arXiv260217652C,-2.86,0.18,0.18,,,,,Cerny2026arXiv260217652C,0.23,0.14,0.14,2.93,1.89,1.89,Munoz2018ApJ...860...66M,0.43,0.09,0.09,1.35,0.7,0.7,Munoz2018ApJ...860...66M,13.5,,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,,,,-0.92,0.81,0.81,2.6,34.67,0.0,0.0,195.1097321,25.5467872,16.7,17.77,-24.65,41.94,774.47,387.1,41.94,,,-2.86,0.18,0.18,spectroscopic,44.16,40.63,4.33,0.69,0.4,,4.42,0.7,0.7,3.3,0.65,0.69,25.24,
smash_1,95.2496,-80.3966,SMASH 1,mw,0,,0.57,0.18,0.32,-24.0,16.0,16.0,0.62,0.21,0.17,,Martin2016ApJ...830L..10M,18.8,,,Martin2016ApJ...830L..10M,17.8,0.9,0.9,Martin2016ApJ...830L..10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.9,0.9,2.63,57.54,0.0,0.0,292.1392843,-27.9859973,-45.97,-24.45,-24.5,55.37,814.19,427.14,55.37,,,,,,,,,,,,,9.5,4.0,4.15,5.56,2.7,3.16,26.29,
to_1,56.08255,-69.42255,To 1,mw,0,,0.27,,,,,,,,,,Torrealba2019MNRAS.484.2181T,18.2,,,Torrealba2019MNRAS.484.2181T,16.6,,,Torrealba2019MNRAS.484.2181T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,,,2.87,43.65,0.0,0.0,284.3605879,-40.9068614,-27.67,-26.43,-21.01,42.88,796.08,408.86,42.88,,,,,,,,,,,,,3.43,,,3.43,,,24.65,
