key,ra,dec,name,host,confirmed_real,confirmed_dwarf,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,M_V,M_V_em,M_V_ep,distance,distance_em,distance_ep,rhalf_physical,rhalf_sph_physical,surface_brightness_rhalf,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,ll,bb
columba_1,82.85696,-28.04253,Columba I,MW,1,1,2.2,0.2,0.2,24.0,9.0,9.0,0.3,0.1,0.1,,Carlin2017AJ....154..267C,21.31,0.11,0.11,Carlin2017AJ....154..267C,17.11,0.2,0.2,Carlin2017AJ....154..267C,153.7,4.9,4.9,,,,6.7,Fritz2019A&A...623A.129F,0.169,0.073,0.071,-0.4,0.079,0.079,Pace2022ApJ...940..136P,-2.37,0.34,0.35,0.71,0.24,0.49,,Fritz2019A&A...623A.129F,2.1,0.6,0.6,8.9,2.5,2.5,Carlin2017AJ....154..267C,,,,,,,,,,,,,,,,,,,0.66,Putman2021ApJ...913...53P,-4.199999999999999,0.2,0.2,182.8100216142741,9.029938739336473,9.499151276741685,116.9900153697397,97.88086936346832,29.324102044723418,,3.715719221656932,-2.37,0.34,0.35,spectroscopic,231.6332921629405,-28.8854683918113
sextans_1,153.2628,-1.6133,Sextans,MW,1,1,16.5,0.1,0.1,57.0,1.0,1.0,0.3,0.01,0.01,,Munoz2018ApJ...860...66M,19.67,0.1,0.1,Lee2009ApJ...703..692L,10.95,0.06,0.06,Munoz2018ApJ...860...66M,224.3,0.1,0.1,7.9,1.3,1.3,,Walker2009AJ....137.3100W,-0.409,0.008,0.009,0.037,0.009,0.009,Pace2022ApJ...940..136P,-1.97,0.04,0.04,0.38,0.03,0.03,,Simon2019ARA&A..57..375S,20.1,0.5,0.5,60.5,0.6,0.6,Munoz2018ApJ...860...66M,17.67,0.17,0.17,0.6,0.01,0.01,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.23,Putman2021ApJ...913...53P,-8.720000000000002,0.06,0.06,85.90135215053961,3.8661977175578386,4.0484060024640485,412.29689240905765,344.9523289428791,27.539396897108745,,2.6019031221326574,-1.97,0.04,0.04,spectroscopic,243.49726224095977,42.27355201861598
segue_2,34.8226,20.1624,Segue 2,MW,1,1,3.76,0.28,0.28,164.0,14.0,14.0,0.22,0.07,0.07,,Munoz2018ApJ...860...66M,17.81,0.15,0.14,Boettcher2013AJ....146...94B,15.86,0.88,0.88,Munoz2018ApJ...860...66M,-40.2,0.9,0.9,,,,2.6,Kirby2013ApJ...770...16K,1.446,0.059,0.059,-0.322,0.05,0.049,Pace2022ApJ...940..136P,-2.22,0.13,0.13,0.43,,,,Kirby2013ApJ...770...16K,0.2,0.03,0.03,8.41,1.69,1.69,Munoz2018ApJ...860...66M,3.64,0.29,0.29,0.82,0.16,0.16,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.95,Putman2021ApJ...913...53P,-1.9499999999999993,0.88,0.88,36.475394692560734,2.434575722460643,2.4291198068673125,39.894585956578034,35.23394430296584,29.355418804055066,,2.473898891403911,-2.22,0.13,0.13,spectroscopic,149.44620340870455,-38.14448358760735
canes_venatici_1,202.0091,33.5521,Canes Venatici I,MW,1,1,7.12,0.21,0.21,80.0,2.0,2.0,0.44,0.03,0.03,,Munoz2018ApJ...860...66M,21.62,0.06,0.06,Kuehn2008ApJ...674L..81K,12.89,0.06,0.06,Munoz2018ApJ...860...66M,30.9,0.6,0.6,7.6,0.4,0.4,,Simon2007ApJ...670..313S,-0.096,0.031,0.03,-0.116,0.02,0.02,Pace2022ApJ...940..136P,-1.91,0.04,0.04,0.39,0.02,0.03,,Simon2019ARA&A..57..375S,6.7,0.5,0.5,30.9,1.0,1.0,Munoz2018ApJ...860...66M,7.67,0.23,0.23,0.78,0.04,0.04,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.104,Spekkens2014ApJ...795L...5S,-8.73,0.06,0.06,210.86281499332887,5.7465971107722,5.907595488640766,436.7230464766608,326.81360256476347,27.412112045048723,,3.037208625413844,-1.91,0.04,0.04,spectroscopic,74.30428311054423,79.82875906695921
phoenix_2,354.9919,-54.4019,Phoenix II,LMC,1,1,1.5,0.17,0.2,-33.0,5.0,5.0,0.44,0.06,0.06,,Richstein2024arXiv240208731R,19.6,0.2,0.2,MutluPakdil2018ApJ...863...25M,17.0,0.09,0.13,Richstein2024arXiv240208731R,32.4,3.75,3.75,,,,21.2,Fritz2019A&A...623A.129F,0.507,0.048,0.047,-1.199,0.057,0.058,Pace2022ApJ...940..136P,-2.51,0.17,0.19,0.33,0.16,0.29,,Fritz2019A&A...623A.129F,,,,,,,,1.61,0.27,0.27,1.14,0.27,0.27,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.51,Putman2021ApJ...913...53P,-2.6000000000000014,0.09,0.13,83.17637711026708,7.318619607348566,8.02470682532389,36.29254101136518,27.15885083199415,28.14017003370439,,2.919745462213,-2.51,0.17,0.19,spectroscopic,323.6963295536009,-59.75064564196422
tucana_4,0.717,-60.83,Tucana IV,MW,1,1,9.3,0.9,1.4,27.0,8.0,9.0,0.39,0.1,0.07,,Simon2020ApJ...892..137S,18.36,0.18,0.18,Simon2020ApJ...892..137S,15.36,0.4,0.3,Simon2020ApJ...892..137S,15.9,1.7,1.8,4.3,1.0,1.7,,Simon2020ApJ...892..137S,0.534,0.053,0.05,-1.707,0.055,0.054,Pace2022ApJ...940..136P,-2.49,0.16,0.15,,,,0.64,Simon2020ApJ...892..137S,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,Putman2021ApJ...913...53P,-3.0,0.4,0.3,46.98941086052151,3.7380277570206246,4.061089137019138,127.11858962871476,99.28279234493804,30.55497984705675,,2.359627962601251,-2.49,0.16,0.15,spectroscopic,313.30931748484835,-55.308896738565736
sagittarius_1,283.8313,-30.5454,Sagittarius,MW,1,1,342.0,12.0,12.0,102.0,2.0,2.0,0.64,0.02,0.02,,McConnachie2012AJ....144....4M,17.1,0.15,0.15,McConnachie2012AJ....144....4M,3.6,0.3,0.3,McConnachie2012AJ....144....4M,140.0,2.0,2.0,11.4,0.7,0.7,,McConnachie2012AJ....144....4M,-2.692,0.001,0.001,-1.359,0.001,0.001,Gaia_Helmi2018A&A...616A..12G,-0.53,0.02,0.03,0.17,0.02,0.02,,Simon2019ARA&A..57..375S,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,Putman2021ApJ...913...53P,-13.500000000000002,0.3,0.3,26.302679918953814,1.755590762103477,1.8811493936907375,2616.6896900984543,1570.0138140590725,26.0475555706159,,2.0754981462355198,-0.53,0.02,0.03,spectroscopic,5.568822804053598,-14.16650287103217
reticulum_2,53.9203,-54.0513,Reticulum II,LMC,1,1,6.3,0.4,0.4,68.0,2.0,2.0,0.6,0.1,0.1,,MutluPakdil2018ApJ...863...25M,17.5,0.1,0.1,MutluPakdil2018ApJ...863...25M,14.4,0.1,0.1,MutluPakdil2018ApJ...863...25M,64.3,1.2,1.2,3.6,0.7,1.0,,Walker2015ApJ...808..108W,2.377,0.024,0.023,-1.379,0.025,0.026,Pace2022ApJ...940..136P,-2.65,0.07,0.07,0.28,0.09,0.09,,Simon2015ApJ...808...95S,,,,,,,,5.59,0.21,0.21,0.6,0.05,0.05,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.6,Putman2021ApJ...913...53P,-3.0999999999999996,0.1,0.1,31.622776601683793,1.4232593976636636,1.4903355465753556,57.951764883810576,36.651914291880914,28.291095501311727,,2.1503265364987074,-2.65,0.07,0.07,spectroscopic,266.3006675822484,-49.737613541614714
segue_1,151.7504,16.0756,Segue 1,MW,1,1,3.62,0.42,0.42,77.0,15.0,15.0,0.33,0.1,0.1,,Munoz2018ApJ...860...66M,16.8,0.2,0.2,Belokurov2007ApJ...654..897B,15.5,0.73,0.73,Munoz2018ApJ...860...66M,208.5,0.9,0.9,3.7,1.1,1.4,,Simon2011ApJ...733...46S,-2.102,0.051,0.051,-3.375,0.046,0.044,Pace2022ApJ...940..136P,-2.5,,,,,,,Simon2011ApJ...733...46S,3.24,1.56,1.56,16.4,2.6,2.6,Munoz2018ApJ...860...66M,3.95,0.48,0.48,0.85,0.28,0.28,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.089,Spekkens2014ApJ...795L...5S,-1.3000000000000007,0.73,0.73,22.90867652767775,2.0157152191373378,2.210187787418075,24.123187238499888,19.745679752905314,28.74797306975379,,1.0415652927599774,-2.5,,,spectroscopic,220.47758312163083,50.408963927190584
canes_venatici_2,194.2927,34.3226,Canes Venatici II,MW,1,1,1.52,0.24,0.24,9.0,15.0,15.0,0.4,0.13,0.13,,Munoz2018ApJ...860...66M,21.02,0.06,0.06,Greco2008ApJ...675L..73G,15.85,0.32,0.32,Munoz2018ApJ...860...66M,-128.9,1.2,1.2,4.6,0.8,0.8,,Simon2007ApJ...670..313S,-0.124,0.115,0.117,-0.254,0.08,0.082,Pace2022ApJ...940..136P,-2.35,0.19,0.16,0.57,0.12,0.15,,Simon2019ARA&A..57..375S,0.89,0.65,0.65,5.37,4.0,4.0,Munoz2018ApJ...860...66M,1.51,0.23,0.23,0.59,0.49,0.49,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.4,Putman2021ApJ...913...53P,-5.17,0.32,0.32,159.9558028614668,4.359239700959279,4.481369460026087,70.72447057929026,54.782939344585515,27.093839728861628,,3.382235277443026,-2.35,0.19,0.16,spectroscopic,113.57437620140458,82.7012046124419
