key,confirmed_real,confirmed_star_cluster,ra,dec,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_em,distance,distance_em,distance_ep,ref_distance,rhalf_physical,rhalf_sph_physical,apparent_magnitude_V,apparent_magnitude_V_em,apparent_magnitude_V_ep,MV,MV_em,MV_ep,ref_mv,surface_brightness_rhalf,surface_brightness_rhalf_em,surface_brightness_rhalf_ep,ref_surface_brightness,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_upper_limit,ref_vlos,,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity,metallicity_em,metallicity_ep,metallicity_sigma,metallicity_sigma_em,metallicity_sigma_ep,metallicity_sigma_ul,ref_metallicity,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,king_concentration,king_concentration_em,king_concentration_ep,ref_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric
eridanus_1,1,1,66.185608,-21.186781,0.55,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,19.639,0.074,0.074,84.684,2.838,2.936,Baumgardt2021MNRAS.505.5957B,13.54846738,13.54846738,14.22,0.03,0.03,-5.419,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,-23.15,0.73,0.73,,,,,Baumgardt2018MNRAS.478.1520B,,0.5096,0.0387,0.0387,-0.3011,0.0408,0.0408,Vasiliev2021MNRAS.505.5978V,-1.43,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,0.64,0.04,0.04,1.18,0.14,0.14,Munoz2018ApJ...860...66M,,,,,,,,
eso_280_sc06,1,1,272.275,-46.423333,1.15,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,16.605,0.067,0.067,20.945,0.636,0.656,Simpson2018MNRAS.477.4565S,7.00655156,7.00655156,11.74,0.2,0.2,-4.865,0.2,0.2,Baumgardt2020PASA...37...46B,,,,,92.5,2,2,,,,,Simpson2018MNRAS.477.4565S,,-0.6878,0.0392,0.0392,-2.7775,0.0332,0.0332,Vasiliev2021MNRAS.505.5978V,-2.48,0.11,0.06,,,,,Simpson2018MNRAS.477.4565S,,,,,,,,,,,,,,,,,,,,,,,,,
eso_452_sc11,1,1,249.854167,-28.399167,1.15,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.343,0.058,0.059,7.389,0.196,0.202,Baumgardt2021MNRAS.505.5957B,2.47177892,2.47177892,10.34,0.06,0.06,-4.003,0.06,0.06,Baumgardt2020PASA...37...46B,,,,,16.37,0.44,0.44,,,,,Baumgardt2018MNRAS.478.1520B,,-1.4234,0.0314,0.0314,-6.472,0.0303,0.0303,Vasiliev2021MNRAS.505.5978V,-1.5,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
fsr_1735,1,1,253.044174,-47.058056,0.79,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.791,0.126,0.126,9.082,0.512,0.543,Baumgardt2021MNRAS.505.5957B,2.087058902,2.087058902,7.9,0.11,0.11,-6.891,0.11,0.11,Baumgardt2020PASA...37...46B,,,,,-69.85,4.88,4.88,,,,,Baumgardt2018MNRAS.478.1520B,,-4.4395,0.0537,0.0537,-1.5341,0.0476,0.0476,Vasiliev2021MNRAS.505.5978V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glimpse_01,1,0,282.2070833,-1.497222222,0.6,,,,,,,,,,Kobulnicky2005AJ....129..239K,12.46,0.38,0.32,3.1,0.5,0.5,Kobulnicky2005AJ....129..239K,0.5410520681,0.5410520681,4.05,,,-8.41,,,Kobulnicky2005AJ....129..239K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glimpse_02,1,0,274.6270833,-16.97722222,1.73,,,,,,,,,,Kurtev2008A&A...489..583K,13.3,0.3,0.3,4.6,0.7,0.7,Kurtev2008A&A...489..583K,2.314888365,2.314888365,7.1,,,-6.2,,,Strader2008AJ....136.2102S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,15,,,1.33,,,Kurtev2008A&A...489..583K,,,,,,,,,,,,-0.33,0.14,0.14,Kurtev2008A&A...489..583K
hp_1,1,1,262.771667,-29.981667,1.52,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.224,0.044,0.044,6.995,0.141,0.144,Baumgardt2021MNRAS.505.5957B,3.09283979,3.09283979,7.62,0.11,0.11,-6.604,0.11,0.11,Baumgardt2020PASA...37...46B,,,,,39.76,1.22,1.22,,,,,Baumgardt2018MNRAS.478.1520B,,2.5228,0.0391,0.0391,-10.093,0.0374,0.0374,Vasiliev2021MNRAS.505.5978V,-1,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ic_1257,1,1,261.785431,-7.093056,0.53,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.123,0.117,0.117,26.587,1.392,1.469,Baumgardt2021MNRAS.505.5957B,4.098937746,4.098937746,11.97,,,-5.153,,,Baumgardt2020PASA...37...46B,,,,,-137.97,2.04,2.04,,,,,Baumgardt2018MNRAS.478.1520B,,-1.0069,0.04,0.04,-1.4916,0.0321,0.0321,Vasiliev2021MNRAS.505.5978V,-1.7,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ic_1276,1,1,272.684441,-7.207595,2.42,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.292,0.119,0.122,4.554,0.243,0.263,Baumgardt2021MNRAS.505.5957B,3.205785863,3.205785863,6.59,0.06,0.06,-6.702,0.06,0.06,Baumgardt2020PASA...37...46B,,,,,155.06,0.69,0.69,,,,,Baumgardt2018MNRAS.478.1520B,,-2.5531,0.0258,0.0258,-4.5676,0.0257,0.0257,Vasiliev2021MNRAS.505.5978V,-0.75,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ic_4499,1,1,225.077188,-82.213792,1.87,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,16.381,0.029,0.029,18.891,0.25,0.253,Baumgardt2021MNRAS.505.5957B,10.27596631,10.27596631,9.13,0.05,0.05,-7.251,0.05,0.05,Baumgardt2020PASA...37...46B,,,,,38.41,0.31,0.31,,,,,Baumgardt2018MNRAS.478.1520B,,0.4658,0.0253,0.0253,-0.489,0.0253,0.0253,Vasiliev2021MNRAS.505.5978V,-1.53,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
liller_1,1,1,263.352333,-33.389556,0.55,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.532,0.093,0.093,8.061,0.338,0.353,Baumgardt2021MNRAS.505.5957B,1.289667418,1.289667418,5.55,0.2,0.2,-8.982,0.2,0.2,Baumgardt2020PASA...37...46B,,,,,60.36,2.44,2.44,,,,,Baumgardt2018MNRAS.478.1520B,,-5.4028,0.1087,0.1087,-7.4313,0.0769,0.0769,Vasiliev2021MNRAS.505.5978V,-0.33,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
lynga_7,1,1,242.765213,-55.317776,1.7,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.488,0.044,0.044,7.899,0.159,0.163,Baumgardt2021MNRAS.505.5957B,3.906134132,3.906134132,7.62,0.14,0.14,-6.868,0.14,0.14,Baumgardt2020PASA...37...46B,,,,,17.86,0.83,0.83,,,,,Baumgardt2018MNRAS.478.1520B,,-3.851,0.0269,0.0269,-7.0495,0.0271,0.0271,Vasiliev2021MNRAS.505.5978V,-1.01,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_104,1,1,6.023792,-72.081306,3.07,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.276,0.015,0.015,4.521,0.031,0.031,Baumgardt2021MNRAS.505.5957B,4.037374166,4.037374166,3.96,0.05,0.05,-9.316,0.05,0.05,Baumgardt2020PASA...37...46B,,,,,-17.45,0.16,0.16,,,,,Baumgardt2018MNRAS.478.1520B,,5.2516,0.0214,0.0214,-2.5515,0.0214,0.0214,Vasiliev2021MNRAS.505.5978V,-0.72,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
