key,confirmed_real,confirmed_star_cluster,ra,dec,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_em,distance,distance_em,distance_ep,ref_distance,rhalf_physical,rhalf_sph_physical,apparent_magnitude_V,apparent_magnitude_V_em,apparent_magnitude_V_ep,MV,MV_em,MV_ep,ref_mv,surface_brightness_rhalf,surface_brightness_rhalf_em,surface_brightness_rhalf_ep,ref_surface_brightness,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_upper_limit,ref_vlos,,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity,metallicity_em,metallicity_ep,metallicity_sigma,metallicity_sigma_em,metallicity_sigma_ep,metallicity_sigma_ul,ref_metallicity,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,king_concentration,king_concentration_em,king_concentration_ep,ref_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric
ngc_4372,1,1,186.439101,-72.659084,3.47,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.784,0.08,0.08,5.713,0.207,0.214,Baumgardt2021MNRAS.505.5957B,5.766599846,5.766599846,6.16,0.05,0.05,-7.624,0.05,0.05,Baumgardt2020PASA...37...46B,,,,,75.59,0.3,0.3,,,,,Baumgardt2018MNRAS.478.1520B,,-6.409,0.0241,0.0241,3.2975,0.0238,0.0238,Vasiliev2021MNRAS.505.5978V,-2.17,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_4590,1,1,189.866577,-26.744057,1.47,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.086,0.021,0.021,10.404,0.099,0.1,Baumgardt2021MNRAS.505.5957B,4.448809357,4.448809357,7.84,0.04,0.04,-7.246,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-93.11,0.18,0.18,,,,,Baumgardt2018MNRAS.478.1520B,,-2.739,0.024,0.024,1.7786,0.0239,0.0239,Vasiliev2021MNRAS.505.5978V,-2.23,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_4833,1,1,194.891342,-70.876503,1.73,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.058,0.028,0.028,6.48,0.083,0.084,Baumgardt2021MNRAS.505.5957B,3.260973174,3.260973174,6.2,0.03,0.03,-7.858,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,201.99,0.4,0.4,,,,,Baumgardt2018MNRAS.478.1520B,,-8.3774,0.0249,0.0249,-0.9631,0.0245,0.0245,Vasiliev2021MNRAS.505.5978V,-1.85,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5024,1,1,198.230209,18.168165,1.2,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,16.336,0.022,0.022,18.498,0.183,0.185,Baumgardt2021MNRAS.505.5957B,6.457020101,6.457020101,7.64,0.04,0.04,-8.696,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-63.37,0.25,0.25,,,,,Baumgardt2018MNRAS.478.1520B,,-0.1334,0.0241,0.0241,-1.3306,0.024,0.024,Vasiliev2021MNRAS.505.5978V,-2.1,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5053,1,1,199.112885,17.700251,2.43,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,16.22,0.029,0.029,17.537,0.232,0.235,Baumgardt2021MNRAS.505.5957B,12.39617483,12.39617483,9.89,0.04,0.04,-6.33,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,42.82,0.25,0.25,,,,,Baumgardt2018MNRAS.478.1520B,,-0.3293,0.0253,0.0253,-1.2129,0.0253,0.0253,Vasiliev2021MNRAS.505.5978V,-2.27,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5139,1,1,201.696991,-47.479473,4.79,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.672,0.019,0.019,5.426,0.047,0.047,Baumgardt2021MNRAS.505.5957B,7.560341623,7.560341623,3.13,0.04,0.04,-10.542,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,232.78,0.21,0.21,,,,,Baumgardt2018MNRAS.478.1520B,,-3.2499,0.0217,0.0217,-6.7463,0.0216,0.0216,Vasiliev2021MNRAS.505.5978V,-1.53,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5272,1,1,205.548416,28.377277,1.15,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.038,0.017,0.017,10.175,0.081,0.082,Baumgardt2021MNRAS.505.5957B,3.403755652,3.403755652,6.36,0.04,0.04,-8.678,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-147.2,0.27,0.27,,,,,Baumgardt2018MNRAS.478.1520B,,-0.1519,0.0228,0.0228,-2.6696,0.0222,0.0222,Vasiliev2021MNRAS.505.5978V,-1.5,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5286,1,1,206.61171,-51.374249,0.73,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.226,0.028,0.028,11.096,0.143,0.145,Baumgardt2021MNRAS.505.5957B,2.356217761,2.356217761,6.61,0.03,0.03,-8.616,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,62.38,0.4,0.4,,,,,Baumgardt2018MNRAS.478.1520B,,0.1984,0.0255,0.0255,-0.1533,0.0253,0.0253,Vasiliev2021MNRAS.505.5978V,-1.69,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5466,1,1,211.363709,28.534445,2.04,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,16.037,0.022,0.022,16.12,0.162,0.164,Baumgardt2021MNRAS.505.5957B,9.565800564,9.565800564,9.32,0.03,0.03,-6.717,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,106.82,0.2,0.2,,,,,Baumgardt2018MNRAS.478.1520B,,-5.3423,0.0245,0.0245,-0.8223,0.0242,0.0242,Vasiliev2021MNRAS.505.5978V,-1.98,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5634,1,1,217.405335,-5.97643,0.61,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.071,0.052,0.052,25.959,0.613,0.628,Baumgardt2021MNRAS.505.5957B,4.606211875,4.606211875,9.36,0.07,0.07,-7.711,0.07,0.07,Baumgardt2020PASA...37...46B,,,,,-16.07,0.6,0.6,,,,,Baumgardt2018MNRAS.478.1520B,,-1.6918,0.0269,0.0269,-1.4781,0.0263,0.0263,Vasiliev2021MNRAS.505.5978V,-1.88,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5694,1,1,219.901245,-26.538776,0.3,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.71,0.046,0.046,34.84,0.73,0.745,Baumgardt2021MNRAS.505.5957B,3.040363557,3.040363557,9.6,0.12,0.12,-8.11,0.12,0.12,Baumgardt2020PASA...37...46B,,,,,-139.55,0.49,0.49,,,,,Baumgardt2018MNRAS.478.1520B,,-0.4636,0.0293,0.0293,-1.1046,0.029,0.029,Vasiliev2021MNRAS.505.5978V,-1.98,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,0.42,0.01,0.01,3.2,0.08,0.08,Munoz2018ApJ...860...66M,,,,,,,,
ngc_5824,1,1,225.994156,-33.068138,0.49,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.506,0.041,0.041,31.713,0.593,0.604,Baumgardt2021MNRAS.505.5957B,4.520219503,4.520219503,8.4,0.07,0.07,-9.106,0.07,0.07,Baumgardt2020PASA...37...46B,,,,,-25.24,0.52,0.52,,,,,Baumgardt2018MNRAS.478.1520B,,-1.1892,0.026,0.026,-2.2338,0.0257,0.0257,Vasiliev2021MNRAS.505.5978V,-1.91,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,0.53,0.01,0.01,3.82,0.05,0.05,Munoz2018ApJ...860...66M,,,,,,,,
ngc_5897,1,1,229.351659,-21.010122,2.09,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.493,0.041,0.041,12.549,0.233,0.238,Baumgardt2021MNRAS.505.5957B,7.629244313,7.629244313,8.2,0.04,0.04,-7.293,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,101.31,0.22,0.22,,,,,Baumgardt2018MNRAS.478.1520B,,-5.4217,0.0252,0.0252,-3.3926,0.0251,0.0251,Vasiliev2021MNRAS.505.5978V,-1.9,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5904,1,1,229.638412,2.081028,1.62,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.369,0.017,0.017,7.479,0.06,0.06,Baumgardt2021MNRAS.505.5957B,3.524395718,3.524395718,5.86,0.03,0.03,-8.509,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,53.5,0.25,0.25,,,,,Baumgardt2018MNRAS.478.1520B,,4.0856,0.023,0.023,-9.8696,0.0231,0.0231,Vasiliev2021MNRAS.505.5978V,-1.29,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5927,1,1,232.002869,-50.673031,1.29,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.588,0.029,0.029,8.27,0.109,0.111,Baumgardt2021MNRAS.505.5957B,3.103282677,3.103282677,6.35,0.04,0.04,-8.238,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-104.09,0.28,0.28,,,,,Baumgardt2018MNRAS.478.1520B,,-5.0564,0.0246,0.0246,-3.2166,0.0249,0.0249,Vasiliev2021MNRAS.505.5978V,-0.49,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5946,1,1,233.869051,-50.659713,0.7,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.921,0.115,0.116,9.642,0.496,0.529,Baumgardt2021MNRAS.505.5957B,1.963320876,1.963320876,7.82,0.08,0.08,-7.101,0.08,0.08,Baumgardt2020PASA...37...46B,,,,,137.6,0.94,0.94,,,,,Baumgardt2018MNRAS.478.1520B,,-5.331,0.0275,0.0275,-1.6572,0.0271,0.0271,Vasiliev2021MNRAS.505.5978V,-1.29,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_5986,1,1,236.512497,-37.786415,0.93,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.114,0.027,0.027,10.54,0.13,0.132,Baumgardt2021MNRAS.505.5957B,2.851344399,2.851344399,6.84,0.04,0.04,-8.274,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,101.18,0.43,0.43,,,,,Baumgardt2018MNRAS.478.1520B,,-4.1925,0.0259,0.0259,-4.568,0.0256,0.0256,Vasiliev2021MNRAS.505.5978V,-1.59,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6093,1,1,244.26004,-22.976084,0.64,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.072,0.024,0.024,10.339,0.115,0.116,Baumgardt2021MNRAS.505.5957B,1.924795641,1.924795641,6.87,0.03,0.03,-8.202,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,10.93,0.39,0.39,,,,,Baumgardt2018MNRAS.478.1520B,,-2.9339,0.0267,0.0267,-5.5784,0.0261,0.0261,Vasiliev2021MNRAS.505.5978V,-1.75,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6101,1,1,246.450485,-72.202194,2.28,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.799,0.028,0.028,14.449,0.184,0.187,Baumgardt2021MNRAS.505.5957B,9.582939698,9.582939698,8.52,0.03,0.03,-7.279,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,366.33,0.32,0.32,,,,,Baumgardt2018MNRAS.478.1520B,,1.7558,0.0241,0.0241,-0.2577,0.0245,0.0245,Vasiliev2021MNRAS.505.5978V,-1.98,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6121,1,1,245.896744,-26.525749,4.65,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,11.337,0.019,0.018,1.851,0.016,0.015,Baumgardt2021MNRAS.505.5957B,2.503718445,2.503718445,4.32,0.04,0.04,-7.017,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,71.21,0.15,0.15,,,,,Baumgardt2018MNRAS.478.1520B,,-12.514,0.0231,0.0231,-19.022,0.0227,0.0227,Vasiliev2021MNRAS.505.5978V,-1.16,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6139,1,1,246.918466,-38.848782,0.63,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.008,0.098,0.098,10.035,0.441,0.463,Baumgardt2021MNRAS.505.5957B,1.8390098,1.8390098,6.66,0.08,0.08,-8.348,0.08,0.08,Baumgardt2020PASA...37...46B,,,,,24.41,0.95,0.95,,,,,Baumgardt2018MNRAS.478.1520B,,-6.0814,0.0267,0.0267,-2.7112,0.0262,0.0262,Vasiliev2021MNRAS.505.5978V,-1.65,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6144,1,1,246.80777,-26.0235,1.56,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.556,0.034,0.034,8.151,0.125,0.127,Baumgardt2021MNRAS.505.5957B,3.698806471,3.698806471,8.13,0.04,0.04,-6.426,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,194.79,0.58,0.58,,,,,Baumgardt2018MNRAS.478.1520B,,-1.7435,0.0263,0.0263,-2.6068,0.0258,0.0258,Vasiliev2021MNRAS.505.5978V,-1.76,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6171,1,1,248.132752,-13.053778,1.58,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.753,0.03,0.029,5.631,0.076,0.077,Baumgardt2021MNRAS.505.5957B,2.588026575,2.588026575,7.26,0.04,0.04,-6.493,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-34.71,0.18,0.18,,,,,Baumgardt2018MNRAS.478.1520B,,-1.9392,0.0253,0.0253,-5.9789,0.025,0.025,Vasiliev2021MNRAS.505.5978V,-1.02,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6205,1,1,250.421814,36.459862,1.61,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.352,0.022,0.022,7.419,0.075,0.076,Baumgardt2021MNRAS.505.5957B,3.474540388,3.474540388,5.75,0.04,0.04,-8.602,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-244.9,0.3,0.3,,,,,Baumgardt2018MNRAS.478.1520B,,-3.1493,0.0227,0.0227,-2.5735,0.0231,0.0231,Vasiliev2021MNRAS.505.5978V,-1.53,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6218,1,1,251.809067,-1.948528,1.83,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.542,0.02,0.021,5.109,0.048,0.049,Baumgardt2021MNRAS.505.5957B,2.71965058,2.71965058,6.5,0.04,0.04,-7.042,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-41.67,0.14,0.14,,,,,Baumgardt2018MNRAS.478.1520B,,-0.1914,0.0241,0.0241,-6.8019,0.024,0.024,Vasiliev2021MNRAS.505.5978V,-1.37,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6229,1,1,251.745249,47.527796,0.36,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.393,0.034,0.034,30.106,0.467,0.475,Baumgardt2021MNRAS.505.5957B,3.152692948,3.152692948,9.3,0.05,0.05,-8.093,0.05,0.05,Baumgardt2020PASA...37...46B,,,,,-137.89,0.71,0.71,,,,,Baumgardt2018MNRAS.478.1520B,,-1.1706,0.0263,0.0263,-0.4665,0.0267,0.0267,Vasiliev2021MNRAS.505.5978V,-1.47,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,0.36,0.01,0.01,2.62,0.08,0.08,Munoz2018ApJ...860...66M,,,,,,,,
ngc_6235,1,1,253.355676,-22.177447,0.97,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.384,0.069,0.069,11.937,0.374,0.387,Baumgardt2021MNRAS.505.5957B,3.36816257,3.36816257,8.66,0.04,0.04,-6.724,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,126.68,0.33,0.33,,,,,Baumgardt2018MNRAS.478.1520B,,-3.9306,0.0272,0.0272,-7.5872,0.0266,0.0266,Vasiliev2021MNRAS.505.5978V,-1.28,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6254,1,1,254.28772,-4.100306,2.03,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.524,0.027,0.027,5.067,0.063,0.064,Baumgardt2021MNRAS.505.5957B,2.992079023,2.992079023,5.75,0.04,0.04,-7.774,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,74.21,0.23,0.23,,,,,Baumgardt2018MNRAS.478.1520B,,-4.7577,0.0235,0.0235,-6.5968,0.0236,0.0236,Vasiliev2021MNRAS.505.5978V,-1.56,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6256,1,1,254.886107,-37.120968,1.4,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.299,0.088,0.088,7.242,0.288,0.299,Baumgardt2021MNRAS.505.5957B,2.94925737,2.94925737,7.19,0.11,0.11,-7.109,0.11,0.11,Baumgardt2020PASA...37...46B,,,,,-99.75,0.66,0.66,,,,,Baumgardt2018MNRAS.478.1520B,,-3.7149,0.0312,0.0312,-1.6375,0.0304,0.0304,Vasiliev2021MNRAS.505.5978V,-1.02,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6266,1,1,255.304153,-30.11339,0.99,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.035,0.036,0.035,6.412,0.104,0.105,Baumgardt2021MNRAS.505.5957B,1.846523442,1.846523442,5.15,0.06,0.06,-8.885,0.06,0.06,Baumgardt2020PASA...37...46B,,,,,-73.98,0.67,0.67,,,,,Baumgardt2018MNRAS.478.1520B,,-4.9778,0.0265,0.0265,-2.9467,0.0263,0.0263,Vasiliev2021MNRAS.505.5978V,-1.18,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6273,1,1,255.657486,-26.267971,1.3,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.607,0.043,0.043,8.343,0.163,0.165,Baumgardt2021MNRAS.505.5957B,3.154944422,3.154944422,5.71,0.04,0.04,-8.897,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,145.54,0.59,0.59,,,,,Baumgardt2018MNRAS.478.1520B,,-3.2487,0.0256,0.0256,1.6604,0.0251,0.0251,Vasiliev2021MNRAS.505.5978V,-1.74,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6284,1,1,256.120114,-24.764799,0.71,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.763,0.064,0.064,14.208,0.415,0.427,Baumgardt2021MNRAS.505.5957B,2.934387165,2.934387165,8.12,0.08,0.08,-7.643,0.08,0.08,Baumgardt2020PASA...37...46B,,,,,28.62,0.73,0.73,,,,,Baumgardt2018MNRAS.478.1520B,,-3.1997,0.0286,0.0286,-2.0021,0.0278,0.0278,Vasiliev2021MNRAS.505.5978V,-1.26,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6287,1,1,256.288904,-22.708005,0.84,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.496,0.1,0.101,7.929,0.356,0.376,Baumgardt2021MNRAS.505.5957B,1.937420189,1.937420189,7.55,0.07,0.07,-6.946,0.07,0.07,Baumgardt2020PASA...37...46B,,,,,-294.74,1.65,1.65,,,,,Baumgardt2018MNRAS.478.1520B,,-5.0103,0.0292,0.0292,-1.883,0.0277,0.0277,Vasiliev2021MNRAS.505.5978V,-2.1,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6293,1,1,257.5425,-26.582083,0.83,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.817,0.066,0.066,9.192,0.274,0.282,Baumgardt2021MNRAS.505.5957B,2.219290864,2.219290864,7.39,0.11,0.11,-7.427,0.11,0.11,Baumgardt2020PASA...37...46B,,,,,-143.66,0.39,0.39,,,,,Baumgardt2018MNRAS.478.1520B,,0.8703,0.028,0.028,-4.326,0.0275,0.0275,Vasiliev2021MNRAS.505.5978V,-1.99,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6304,1,1,258.634399,-29.462028,1.02,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.945,0.052,0.052,6.152,0.146,0.15,Baumgardt2021MNRAS.505.5957B,1.825335145,1.825335145,6.52,0.07,0.07,-7.425,0.07,0.07,Baumgardt2020PASA...37...46B,,,,,-108.62,0.39,0.39,,,,,Baumgardt2018MNRAS.478.1520B,,-4.07,0.0285,0.0285,-1.0878,0.0283,0.0283,Vasiliev2021MNRAS.505.5978V,-0.45,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6316,1,1,259.155417,-28.140111,0.97,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.237,0.076,0.075,11.152,0.382,0.393,Baumgardt2021MNRAS.505.5957B,3.146665744,3.146665744,7.35,0.17,0.17,-7.887,0.17,0.17,Baumgardt2020PASA...37...46B,,,,,99.65,0.84,0.84,,,,,Baumgardt2018MNRAS.478.1520B,,-4.9691,0.0313,0.0313,-4.5916,0.0301,0.0301,Vasiliev2021MNRAS.505.5978V,-0.45,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6325,1,1,259.496327,-23.767677,0.79,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.385,0.092,0.093,7.533,0.314,0.33,Baumgardt2021MNRAS.505.5957B,1.731096092,1.731096092,8.09,0.04,0.04,-6.295,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,29.54,0.58,0.58,,,,,Baumgardt2018MNRAS.478.1520B,,-8.2893,0.0302,0.0302,-9.0004,0.0291,0.0291,Vasiliev2021MNRAS.505.5978V,-1.25,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6333,1,1,259.799086,-18.516257,1.13,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.595,0.037,0.037,8.3,0.142,0.144,Baumgardt2021MNRAS.505.5957B,2.728240509,2.728240509,6.48,0.04,0.04,-8.115,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,310.75,2.12,2.12,,,,,Baumgardt2018MNRAS.478.1520B,,-2.1801,0.0262,0.0262,-3.2218,0.0259,0.0259,Vasiliev2021MNRAS.505.5978V,-1.77,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6341,1,1,259.280762,43.135944,0.82,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.647,0.018,0.018,8.501,0.07,0.071,Baumgardt2021MNRAS.505.5957B,2.027729343,2.027729343,6.45,0.03,0.03,-8.197,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,-120.55,0.27,0.27,,,,,Baumgardt2018MNRAS.478.1520B,,-4.9349,0.0243,0.0243,-0.6251,0.0239,0.0239,Vasiliev2021MNRAS.505.5978V,-2.31,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6342,1,1,260.291573,-19.587659,0.64,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.519,0.062,0.062,8.013,0.226,0.233,Baumgardt2021MNRAS.505.5957B,1.491767818,1.491767818,8.44,0.07,0.07,-6.079,0.07,0.07,Baumgardt2020PASA...37...46B,,,,,115.75,0.9,0.9,,,,,Baumgardt2018MNRAS.478.1520B,,-2.9026,0.0272,0.0272,-7.1156,0.0265,0.0265,Vasiliev2021MNRAS.505.5978V,-0.55,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6352,1,1,261.371277,-48.422169,2,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.719,0.028,0.028,5.543,0.072,0.073,Baumgardt2021MNRAS.505.5957B,3.224786681,3.224786681,7.38,0.04,0.04,-6.339,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-125.63,1.01,1.01,,,,,Baumgardt2018MNRAS.478.1520B,,-2.1575,0.0251,0.0251,-4.4465,0.0247,0.0247,Vasiliev2021MNRAS.505.5978V,-0.64,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6355,1,1,260.993533,-26.352827,0.94,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.686,0.056,0.055,8.655,0.22,0.224,Baumgardt2021MNRAS.505.5957B,2.366579199,2.366579199,7.54,0.07,0.07,-7.146,0.07,0.07,Baumgardt2020PASA...37...46B,,,,,-195.85,0.55,0.55,,,,,Baumgardt2018MNRAS.478.1520B,,-4.7384,0.0312,0.0312,-0.5721,0.0301,0.0301,Vasiliev2021MNRAS.505.5978V,-1.37,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6356,1,1,260.895804,-17.813027,0.88,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.973,0.127,0.127,15.656,0.89,0.946,Baumgardt2021MNRAS.505.5957B,4.007648299,4.007648299,7.46,0.07,0.07,-8.513,0.07,0.07,Baumgardt2020PASA...37...46B,,,,,48.18,1.82,1.82,,,,,Baumgardt2018MNRAS.478.1520B,,-3.7501,0.0264,0.0264,-3.3923,0.026,0.026,Vasiliev2021MNRAS.505.5978V,-0.4,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_6362,1,1,262.979096,-67.048332,2.31,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.418,0.019,0.019,7.649,0.066,0.067,Baumgardt2021MNRAS.505.5957B,5.139759028,5.139759028,7.17,0.04,0.04,-7.248,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-14.58,0.18,0.18,,,,,Baumgardt2018MNRAS.478.1520B,,-5.5058,0.0238,0.0238,-4.7629,0.024,0.024,Vasiliev2021MNRAS.505.5978V,-0.99,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
