key,host,confirmed_real,confirmed_star_cluster,ra,dec,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,distance,distance_em,distance_ep,ref_distance,rhalf_physical,rhalf_sph_physical,apparent_magnitude_V,apparent_magnitude_V_em,apparent_magnitude_V_ep,MV,MV_em,MV_ep,ref_mv,surface_brightness_rhalf,surface_brightness_rhalf_em,surface_brightness_rhalf_ep,ref_surface_brightness,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity,metallicity_em,metallicity_ep,metallicity_sigma,metallicity_sigma_em,metallicity_sigma_ep,metallicity_sigma_ul,ref_metallicity,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,king_concentration,king_concentration_em,king_concentration_ep,ref_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric
des_3,MW,0,0,325.0551667,-52.5418000,0.3,0.04,0.05,-11.59,32.18,30.83,0.18,0.12,0.14,,Luque2018MNRAS.478.2006L,19.41,0.11,0.08,76.2,3.9,2.8,Luque2018MNRAS.478.2006L,6.64970445,6.021563485,17.81,0.3,0.5,-1.60,0.3,0.5,Luque2018MNRAS.478.2006L,25.9,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,1.1,1.1,Luque2018MNRAS.478.2006L,-1.84,0.12,0.22,Luque2018MNRAS.478.2006L
des_4,MW,0,0,82.0950100,-61.7236900,0.83,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17.5,,,31.3,,,Torrealba2019MNRAS.484.2181T,7.556984773,7.556984773,16.4,,,-1.10,,,Torrealba2019MNRAS.484.2181T,26.9,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
des_5,MW,0,0,77.5035100,-62.5804600,0.18,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17,,,24.8,,,Torrealba2019MNRAS.484.2181T,1.298524963,1.298524963,17.3,,,0.30,,,Torrealba2019MNRAS.484.2181T,24.4,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
draco_2,MW,1,0,238.1983333,64.56527778,3,0.5,0.7,76,32,22,0.23,0.15,0.15,,Longeard2018MNRAS.480.2609L,16.67,0.05,0.05,21.5,0.4,0.4,Longeard2018MNRAS.480.2609L,18.76228946,16.46384218,15.87,1,0.4,-0.80,1,0.4,Longeard2018MNRAS.480.2609L,28.1,0.7,0.7,Longeard2018MNRAS.480.2609L,-342.5,1.2,1.1,,,,5.9,Longeard2018MNRAS.480.2609L,1.027,0.065,0.067,0.887,0.072,0.072,Pace2022ApJ...940..136P,-2.7,0.1,0.1,,,,0.24,Longeard2018MNRAS.480.2609L,,,,,,,,,,,,,,,,,,,,,,,,,
eridanus_3,MW,1,0,35.6952000,-52.2838000,0.315,0.027,0.036,109,5,5,0.44,0.03,0.02,,Conn2018ApJ...852...68C,19.8,0.04,0.04,91,4,4,Conn2018ApJ...852...68C,8.338310501,6.239820216,17.73,0.5,0.5,-2.07,0.5,0.5,Conn2018ApJ...852...68C,25.5,,,internal,,,,,,,,,1.39,0.13,0.13,-0.64,0.14,0.14,Battaglia2022A&A...657A..54B,,,,,,,,,0.19,0.049,0.053,2.08,0.91,0.97,,,,Conn2018ApJ...852...68C,0.29,0.23,0.23,1.64,0.27,0.27,Munoz2018ApJ...860...66M,12.5,0.7,0.5,Conn2018ApJ...852...68C,-2.4,0.12,0.19,Conn2018ApJ...852...68C
gaia_3,MW,0,0,95.0586400,-73.4144500,0.53,,,,,,,,,,Torrealba2019MNRAS.484.2181T,18.4,,,48.4,,,Torrealba2019MNRAS.484.2181T,7.461864329,7.461864329,15.1,,,-3.30,,,Torrealba2019MNRAS.484.2181T,24.6,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsc_1,MW,0,0,334.3090000,3.4800000,0.44,0.06,0.07,-12,11,11,0.46,0.1,0.08,,Homma2019PASJ...71...94H,18.3,0.2,0.2,46,4,4,Homma2019PASJ...71...94H,5.887577343,4.326468094,18.1,0.83,0.59,-0.20,0.83,0.59,Homma2019PASJ...71...94H,26.6,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kim_1,MW,0,0,332.9214000,7.0271000,1.2,0.1,0.1,-59,6,6,0.42,0.1,0.1,,Kim2015ApJ...799...73K,16.48,0.1,0.2,19.8,0.9,0.9,Kim2015ApJ...799...73K,6.911503838,5.263644505,16.78,0.5,0.5,0.30,0.5,0.5,Kim2015ApJ...799...73K,27.5,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.22,0.22,1.24,0.55,0.55,Munoz2018ApJ...860...66M,12,3,1.5,Kim2015ApJ...799...73K,-1.7,0.2,0.5,Kim2015ApJ...799...73K
kim_2,MW,1,1,317.2020000,-51.1671000,0.42,0.02,0.02,35,5,5,0.12,0.1,0.1,,Kim2015ApJ...803...63K,20.1,0.1,0.1,104.7,4.1,4.1,Kim2015ApJ...803...63K,12.79151809,11.99950761,18.6,0.5,0.5,-1.50,0.5,0.5,Kim2015ApJ...803...63K,27.5,,,internal,,,,,,,,,,,,,,,,,,,,,,,,0.279,0.02,0.02,2.101,0.02,0.02,,,,Kim2015ApJ...803...63K,0.87,0.45,0.45,1.22,0.44,0.44,Munoz2018ApJ...860...66M,11.5,3.5,2,Kim2015ApJ...803...63K,-1,0.21,0.18,Kim2015ApJ...803...63K
kim_3,MW,0,0,200.6880000,-30.6000000,0.52,0.11,0.24,4,24,24,0.17,0.17,0.26,,Kim2016ApJ...820..119K,15.9,0.04,0.11,15.14,0.28,1,Kim2016ApJ...820..119K,2.290104689,2.086384666,16.6,0.3,0.3,0.70,0.3,0.3,Kim2016ApJ...820..119K,25.9,,,internal,,,,,,,,,-0.849,0.178,0.178,3.396,0.14,0.14,Vasiliev2021MNRAS.505.5978V,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,1.7,3,Kim2016ApJ...820..119K,-1.6,0.3,0.45,Kim2016ApJ...820..119K
